NAME,population,metropolitan statistical area/micropolitan statistical area
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19768458.0,35620
"Los Angeles-Long Beach-Anaheim, CA Metro Area",12997353.0,31080
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9510390.0,16980
"Dallas-Fort Worth-Arlington, TX Metro Area",7759615.0,19100
"Houston-The Woodlands-Sugar Land, TX Metro Area",7206841.0,26420
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6358652.0,47900
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6228601.0,37980
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6144970.0,12060
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6091747.0,33100
"Phoenix-Mesa-Chandler, AZ Metro Area",4946145.0,38060
"Boston-Cambridge-Newton, MA-NH Metro Area",4899932.0,14460
"Riverside-San Bernardino-Ontario, CA Metro Area",4653105.0,40140
"San Francisco-Oakland-Berkeley, CA Metro Area",4623264.0,41860
"Detroit-Warren-Dearborn, MI Metro Area",4365205.0,19820
"Seattle-Tacoma-Bellevue, WA Metro Area",4011553.0,42660
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3690512.0,33460
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3286069.0,41740
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3219514.0,45300
"Denver-Aurora-Lakewood, CO Metro Area",2972567.0,19740
"Baltimore-Columbia-Towson, MD Metro Area",2838327.0,12580
"St. Louis, MO-IL Metro Area",2806615.0,41180
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2701046.0,16740
"Orlando-Kissimmee-Sanford, FL Metro Area",2691925.0,36740
"San Antonio-New Braunfels, TX Metro Area",2601788.0,41700
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510696.0,38900
"Sacramento-Roseville-Folsom, CA Metro Area",2411428.0,40900
"Pittsburgh, PA Metro Area",2353538.0,38300
"Austin-Round Rock-Georgetown, TX Metro Area",2352426.0,12420
"Las Vegas-Henderson-Paradise, NV Metro Area",2292476.0,29820
"Cincinnati, OH-KY-IN Metro Area",2261665.0,17140
"Kansas City, MO-KS Metro Area",2199544.0,28140
"Columbus, OH Metro Area",2151017.0,18140
"Indianapolis-Carmel-Anderson, IN Metro Area",2129479.0,26900
"Cleveland-Elyria, OH Metro Area",2075662.0,17460
"San Juan-Bayamón-Caguas, PR Metro Area",2070305.0,41980
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2013506.0,34980
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1952185.0,41940
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1806423.0,47260
"Providence-Warwick, RI-MA Metro Area",1675774.0,39300
"Jacksonville, FL Metro Area",1637666.0,27260
"Milwaukee-Waukesha, WI Metro Area",1566487.0,33340
"Raleigh-Cary, NC Metro Area",1448411.0,39580
"Oklahoma City, OK Metro Area",1441647.0,36420
"Memphis, TN-MS-AR Metro Area",1336438.0,32820
"Richmond, VA Metro Area",1317525.0,40060
"Louisville/Jefferson County, KY-IN Metro Area",1284826.0,31140
"Salt Lake City, UT Metro Area",1263061.0,41620
"New Orleans-Metairie, LA Metro Area",1261726.0,35380
"Hartford-East Hartford-Middletown, CT Metro Area",1211906.0,25540
"Buffalo-Cheektowaga, NY Metro Area",1162336.0,15380
"Birmingham-Hoover, AL Metro Area",1114262.0,13820
"Grand Rapids-Kentwood, MI Metro Area",1091620.0,24340
"Rochester, NY Metro Area",1084973.0,40380
"Tucson, AZ Metro Area",1052030.0,46060
"Tulsa, OK Metro Area",1024191.0,46140
"Fresno, CA Metro Area",1013581.0,23420
"Urban Honolulu, HI Metro Area",1000890.0,46520
"Worcester, MA-CT Metro Area",978447.0,49340
"Omaha-Council Bluffs, NE-IA Metro Area",972195.0,36540
"Bridgeport-Stamford-Norwalk, CT Metro Area",959768.0,14860
"Greenville-Anderson, SC Metro Area",940774.0,24860
"Albuquerque, NM Metro Area",921311.0,10740
"Bakersfield, CA Metro Area",917673.0,12540
"Albany-Schenectady-Troy, NY Metro Area",899286.0,10580
"Knoxville, TN Metro Area",893002.0,28940
"McAllen-Edinburg-Mission, TX Metro Area",880356.0,32580
"Baton Rouge, LA Metro Area",871905.0,12940
"El Paso, TX Metro Area",871727.0,21340
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",865310.0,10900
"New Haven-Milford, CT Metro Area",863700.0,35300
"North Port-Sarasota-Bradenton, FL Metro Area",859760.0,35840
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",839784.0,37100
"Columbia, SC Metro Area",836324.0,17900
"Dayton-Kettering, OH Metro Area",813516.0,19430
"Charleston-North Charleston, SC Metro Area",813052.0,16700
"Boise City, ID Metro Area",801470.0,14260
"Stockton, CA Metro Area",789410.0,44700
"Cape Coral-Fort Myers, FL Metro Area",787976.0,15980
"Greensboro-High Point, NC Metro Area",778848.0,24660
"Colorado Springs, CO Metro Area",762792.0,17820
"Lakeland-Winter Haven, FL Metro Area",753520.0,29460
"Little Rock-North Little Rock-Conway, AR Metro Area",749673.0,30780
"Des Moines-West Des Moines, IA Metro Area",719146.0,19780
"Ogden-Clearfield, UT Metro Area",708543.0,36260
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",701637.0,39100
"Akron, OH Metro Area",700015.0,10420
"Provo-Orem, UT Metro Area",696699.0,39340
"Springfield, MA Metro Area",695305.0,44140
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",685344.0,19660
"Madison, WI Metro Area",683183.0,31540
"Winston-Salem, NC Metro Area",681438.0,49180
"Syracuse, NY Metro Area",658281.0,45060
"Durham-Chapel Hill, NC Metro Area",654012.0,20500
"Wichita, KS Metro Area",647919.0,48620
"Toledo, OH Metro Area",644217.0,45780
"Palm Bay-Melbourne-Titusville, FL Metro Area",616628.0,37340
"Augusta-Richmond County, GA-SC Metro Area",616395.0,12260
"Harrisburg-Carlisle, PA Metro Area",596305.0,25420
"Spokane-Spokane Valley, WA Metro Area",593466.0,44060
"Jackson, MS Metro Area",586758.0,27140
"Scranton--Wilkes-Barre, PA Metro Area",567750.0,42540
"Chattanooga, TN-GA Metro Area",567395.0,16860
"Fayetteville-Springdale-Rogers, AR Metro Area",558507.0,22220
"Portland-South Portland, ME Metro Area",556893.0,38860
"Lancaster, PA Metro Area",553652.0,29540
"Modesto, CA Metro Area",552999.0,33700
"Lansing-East Lansing, MI Metro Area",540281.0,29620
"Youngstown-Warren-Boardman, OH-PA Metro Area",538069.0,49660
"Fayetteville, NC Metro Area",524588.0,22180
"Lexington-Fayette, KY Metro Area",517846.0,30460
"Pensacola-Ferry Pass-Brent, FL Metro Area",516388.0,37860
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",509794.0,34820
"Port St. Lucie, FL Metro Area",503521.0,38940
"Huntsville, AL Metro Area",502728.0,26620
"Reno, NV Metro Area",496997.0,39900
"Killeen-Temple, TX Metro Area",486416.0,28660
"Santa Rosa-Petaluma, CA Metro Area",485887.0,42220
"Springfield, MO Metro Area",479598.0,44180
"Lafayette, LA Metro Area",479212.0,29180
"Visalia, CA Metro Area",477054.0,47300
"Asheville, NC Metro Area",472341.0,11700
"York-Hanover, PA Metro Area",458696.0,49620
"Vallejo, CA Metro Area",451716.0,46700
"Santa Maria-Santa Barbara, CA Metro Area",446475.0,42200
"Salinas, CA Metro Area",437325.0,41500
"Salem, OR Metro Area",436283.0,41420
"Mobile, AL Metro Area",430714.0,33660
"Reading, PA Metro Area",429342.0,39740
"Salisbury, MD-DE Metro Area",429223.0,41540
"Manchester-Nashua, NH Metro Area",424079.0,31700
"Fort Wayne, IN Metro Area",423038.0,23060
"Brownsville-Harlingen, TX Metro Area",423029.0,15180
"Corpus Christi, TX Metro Area",422778.0,18580
"Gulfport-Biloxi, MS Metro Area",418082.0,25060
"Savannah, GA Metro Area",410008.0,42340
"Flint, MI Metro Area",404208.0,22420
"Canton-Massillon, OH Metro Area",400525.0,15940
"Anchorage, AK Metro Area",398807.0,11260
"Peoria, IL Metro Area",398473.0,37900
"Beaumont-Port Arthur, TX Metro Area",395419.0,13140
"Shreveport-Bossier City, LA Metro Area",389155.0,43340
"Tallahassee, FL Metro Area",387127.0,45220
"Montgomery, AL Metro Area",386814.0,33860
"Naples-Marco Island, FL Metro Area",385980.0,34940
"Ocala, FL Metro Area",385915.0,36100
"Trenton-Princeton, NJ Metro Area",385898.0,45940
"Eugene-Springfield, OR Metro Area",383189.0,21660
"Davenport-Moline-Rock Island, IA-IL Metro Area",381447.0,19340
"Ann Arbor, MI Metro Area",369390.0,11460
"Hickory-Lenoir-Morganton, NC Metro Area",366441.0,25860
"Fort Collins, CO Metro Area",362533.0,22660
"Huntington-Ashland, WV-KY-OH Metro Area",356581.0,26580
"Gainesville, FL Metro Area",344881.0,23540
"Lincoln, NE Metro Area",343035.0,30700
"Greeley, CO Metro Area",340036.0,24540
"Rockford, IL Metro Area",336278.0,40420
"Spartanburg, SC Metro Area",335864.0,43900
"Clarksville, TN-KY Metro Area",329864.0,17300
"Boulder, CO Metro Area",329543.0,14500
"Green Bay, WI Metro Area",329490.0,24580
"Lubbock, TX Metro Area",326546.0,31180
"Columbus, GA-AL Metro Area",326491.0,17980
"South Bend-Mishawaka, IN-MI Metro Area",323695.0,43780
"Roanoke, VA Metro Area",315442.0,40220
"Evansville, IN-KY Metro Area",313946.0,21780
"Aguadilla-Isabela, PR Metro Area",309515.0,10380
"Kennewick-Richland, WA Metro Area",308293.0,28420
"Kingsport-Bristol, TN-VA Metro Area",307318.0,28700
"Hagerstown-Martinsburg, MD-WV Metro Area",300820.0,25180
"Olympia-Lacey-Tumwater, WA Metro Area",297977.0,36500
"Crestview-Fort Walton Beach-Destin, FL Metro Area",293324.0,18880
"Duluth, MN-WI Metro Area",292285.0,20260
"Wilmington, NC Metro Area",291833.0,48900
"Utica-Rome, NY Metro Area",290211.0,46540
"Longview, TX Metro Area",287868.0,30980
"Merced, CA Metro Area",286461.0,32900
"San Luis Obispo-Paso Robles, CA Metro Area",283159.0,42020
"Sioux Falls, SD Metro Area",282557.0,43620
"Waco, TX Metro Area",280485.0,47380
"Cedar Rapids, IA Metro Area",275435.0,16300
"Atlantic City-Hammonton, NJ Metro Area",274966.0,12100
"Bremerton-Silverdale-Port Orchard, WA Metro Area",274314.0,14740
"College Station-Bryan, TX Metro Area",271026.0,17780
"Amarillo, TX Metro Area",270119.0,11100
"Erie, PA Metro Area",269011.0,21500
"Norwich-New London, CT Metro Area",268805.0,35980
"Laredo, TX Metro Area",267945.0,29700
"Santa Cruz-Watsonville, CA Metro Area",267792.0,42100
"Tuscaloosa, AL Metro Area",266638.0,46220
"Lynchburg, VA Metro Area",263571.0,31340
"Kalamazoo-Portage, MI Metro Area",261108.0,28020
"Yakima, WA Metro Area",256035.0,49420
"Charleston, WV Metro Area",252942.0,16620
"Fargo, ND-MN Metro Area",252136.0,22020
"Fort Smith, AR-OK Metro Area",247661.0,22900
"Binghamton, NY Metro Area",245220.0,13780
"Appleton, WI Metro Area",244084.0,11540
